"Year","Labour productivity and related measures","Industry","VALUE"
1998,"Real value added","Business sector industries",NA
1998,"Real value added","Goods-producing businesses",NA
1998,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Real value added","Mining and oil and gas extraction [BS21]",NA
1998,"Real value added","Utilities [BS22]",NA
1998,"Real value added","Construction [BS23]",NA
1998,"Real value added","Manufacturing [BS3A]",NA
1998,"Real value added","Service-producing businesses",NA
1998,"Real value added","Energy sector",NA
1998,"Real value added","Information and communication sector",NA
1998,"Labour productivity","All industries",NA
1998,"Labour productivity","Business sector industries",NA
1998,"Labour productivity","Goods-producing businesses",NA
1998,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Labour productivity","Mining and oil and gas extraction [BS21]",NA
1998,"Labour productivity","Utilities [BS22]",NA
1998,"Labour productivity","Construction [BS23]",NA
1998,"Labour productivity","Manufacturing [BS3A]",NA
1998,"Labour productivity","Service-producing businesses",NA
1998,"Labour productivity","Energy sector",NA
1998,"Labour productivity","Information and communication sector",NA
1998,"Total compensation per hour worked","All industries",NA
1998,"Total compensation per hour worked","Business sector industries",NA
1998,"Total compensation per hour worked","Goods-producing businesses",NA
1998,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",NA
1998,"Total compensation per hour worked","Utilities [BS22]",NA
1998,"Total compensation per hour worked","Construction [BS23]",NA
1998,"Total compensation per hour worked","Manufacturing [BS3A]",NA
1998,"Total compensation per hour worked","Service-producing businesses",NA
1998,"Total compensation per hour worked","Energy sector",NA
1998,"Total compensation per hour worked","Information and communication sector",NA
1998,"Unit labour cost","All industries",NA
1998,"Unit labour cost","Business sector industries",NA
1998,"Unit labour cost","Goods-producing businesses",NA
1998,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Unit labour cost","Mining and oil and gas extraction [BS21]",NA
1998,"Unit labour cost","Utilities [BS22]",NA
1998,"Unit labour cost","Construction [BS23]",NA
1998,"Unit labour cost","Manufacturing [BS3A]",NA
1998,"Unit labour cost","Service-producing businesses",NA
1998,"Unit labour cost","Energy sector",NA
1998,"Unit labour cost","Information and communication sector",NA
1998,"Unit labour cost in US dollars","All industries",NA
1998,"Unit labour cost in US dollars","Business sector industries",NA
1998,"Unit labour cost in US dollars","Goods-producing businesses",NA
1998,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",NA
1998,"Unit labour cost in US dollars","Utilities [BS22]",NA
1998,"Unit labour cost in US dollars","Construction [BS23]",NA
1998,"Unit labour cost in US dollars","Manufacturing [BS3A]",NA
1998,"Unit labour cost in US dollars","Service-producing businesses",NA
1998,"Unit labour cost in US dollars","Energy sector",NA
1998,"Unit labour cost in US dollars","Information and communication sector",NA
1998,"Labour share","All industries",NA
1998,"Labour share","Business sector industries",NA
1998,"Labour share","Goods-producing businesses",NA
1998,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Labour share","Mining and oil and gas extraction [BS21]",NA
1998,"Labour share","Utilities [BS22]",NA
1998,"Labour share","Construction [BS23]",NA
1998,"Labour share","Manufacturing [BS3A]",NA
1998,"Labour share","Service-producing businesses",NA
1998,"Labour share","Energy sector",NA
1998,"Labour share","Information and communication sector",NA
1998,"Total number of jobs","All industries",NA
1998,"Total number of jobs","Business sector industries",NA
1998,"Total number of jobs","Goods-producing businesses",NA
1998,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Total number of jobs","Mining and oil and gas extraction [BS21]",NA
1998,"Total number of jobs","Utilities [BS22]",NA
1998,"Total number of jobs","Construction [BS23]",NA
1998,"Total number of jobs","Manufacturing [BS3A]",NA
1998,"Total number of jobs","Service-producing businesses",NA
1998,"Total number of jobs","Energy sector",NA
1998,"Total number of jobs","Information and communication sector",NA
1998,"Hours worked for all jobs","All industries",NA
1998,"Hours worked for all jobs","Business sector industries",NA
1998,"Hours worked for all jobs","Goods-producing businesses",NA
1998,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",NA
1998,"Hours worked for all jobs","Utilities [BS22]",NA
1998,"Hours worked for all jobs","Construction [BS23]",NA
1998,"Hours worked for all jobs","Manufacturing [BS3A]",NA
1998,"Hours worked for all jobs","Service-producing businesses",NA
1998,"Hours worked for all jobs","Energy sector",NA
1998,"Hours worked for all jobs","Information and communication sector",NA
1998,"Annual average number of hours worked for all jobs","All industries",NA
1998,"Annual average number of hours worked for all jobs","Business sector industries",NA
1998,"Annual average number of hours worked for all jobs","Goods-producing businesses",NA
1998,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",NA
1998,"Annual average number of hours worked for all jobs","Utilities [BS22]",NA
1998,"Annual average number of hours worked for all jobs","Construction [BS23]",NA
1998,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",NA
1998,"Annual average number of hours worked for all jobs","Service-producing businesses",NA
1998,"Annual average number of hours worked for all jobs","Energy sector",NA
1998,"Annual average number of hours worked for all jobs","Information and communication sector",NA
1998,"Total compensation for all jobs","All industries",NA
1998,"Total compensation for all jobs","Business sector industries",NA
1998,"Total compensation for all jobs","Goods-producing businesses",NA
1998,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",NA
1998,"Total compensation for all jobs","Utilities [BS22]",NA
1998,"Total compensation for all jobs","Construction [BS23]",NA
1998,"Total compensation for all jobs","Manufacturing [BS3A]",NA
1998,"Total compensation for all jobs","Service-producing businesses",NA
1998,"Total compensation for all jobs","Energy sector",NA
1998,"Total compensation for all jobs","Information and communication sector",NA
1998,"Nominal value added","All industries",NA
1998,"Nominal value added","Business sector industries",NA
1998,"Nominal value added","Goods-producing businesses",NA
1998,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Nominal value added","Mining and oil and gas extraction [BS21]",NA
1998,"Nominal value added","Utilities [BS22]",NA
1998,"Nominal value added","Construction [BS23]",NA
1998,"Nominal value added","Manufacturing [BS3A]",NA
1998,"Nominal value added","Service-producing businesses",NA
1998,"Nominal value added","Energy sector",NA
1998,"Nominal value added","Information and communication sector",NA
1998,"Real value added","All industries",NA
1998,"Real value added","Business sector industries",NA
1998,"Real value added","Goods-producing businesses",NA
1998,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Real value added","Mining and oil and gas extraction [BS21]",NA
1998,"Real value added","Utilities [BS22]",NA
1998,"Real value added","Construction [BS23]",NA
1998,"Real value added","Manufacturing [BS3A]",NA
1998,"Real value added","Service-producing businesses",NA
1998,"Real value added","Energy sector",NA
1998,"Real value added","Information and communication sector",NA
1998,"Labour productivity","All industries",NA
1998,"Labour productivity","Business sector industries",NA
1998,"Labour productivity","Goods-producing businesses",NA
1998,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Labour productivity","Mining and oil and gas extraction [BS21]",NA
1998,"Labour productivity","Utilities [BS22]",NA
1998,"Labour productivity","Construction [BS23]",NA
1998,"Labour productivity","Manufacturing [BS3A]",NA
1998,"Labour productivity","Service-producing businesses",NA
1998,"Labour productivity","Energy sector",NA
1998,"Labour productivity","Information and communication sector",NA
1998,"Total compensation per hour worked","All industries",NA
1998,"Total compensation per hour worked","Business sector industries",NA
1998,"Total compensation per hour worked","Goods-producing businesses",NA
1998,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",NA
1998,"Total compensation per hour worked","Utilities [BS22]",NA
1998,"Total compensation per hour worked","Construction [BS23]",NA
1998,"Total compensation per hour worked","Manufacturing [BS3A]",NA
1998,"Total compensation per hour worked","Service-producing businesses",NA
1998,"Total compensation per hour worked","Energy sector",NA
1998,"Total compensation per hour worked","Information and communication sector",NA
1998,"Unit labour cost","All industries",NA
1998,"Unit labour cost","Business sector industries",NA
1998,"Unit labour cost","Goods-producing businesses",NA
1998,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Unit labour cost","Mining and oil and gas extraction [BS21]",NA
1998,"Unit labour cost","Utilities [BS22]",NA
1998,"Unit labour cost","Construction [BS23]",NA
1998,"Unit labour cost","Manufacturing [BS3A]",NA
1998,"Unit labour cost","Service-producing businesses",NA
1998,"Unit labour cost","Energy sector",NA
1998,"Unit labour cost","Information and communication sector",NA
1998,"Unit labour cost in US dollars","All industries",NA
1998,"Unit labour cost in US dollars","Business sector industries",NA
